filepath,target,y_true,y_pred
/data/SONICS/echoes/New_Life_take_1_Bird_Names_stableaudio_TTA_001.mp3,0,0,0.01883
/data/SONICS/echoes/Новый_Нью-Йорк_2_Чокнутый_Пропеллер_udio_TTA_001.mp3,0,0,0.01758
/data/SONICS/echoes/Celia_Ergo_Phizmiz_acestep_TTA_001.mp3,0,0,0.01704
/data/SONICS/echoes/Nuo_Maisemat_Paavoharju_suno_TTA_001.mp3,0,0,0.013374
/data/SONICS/echoes/Convicted_Jazz_Drones_Malaventura_producer_TTA_001.mp3,0,0,0.01912
/data/SONICS/echoes/Five_40_DerbySlow_Whistle_The_Crypts_diffrhythm_TTA_001.mp3,0,0,0.01374
/data/SONICS/echoes/Evil_Cannot_Create_Caleb_Lemond_producer_TTA_001.mp3,0,0,0.01229
/data/SONICS/echoes/Redlight_Room_For_A_Ghost_stableaudio_TTA_001.mp3,0,0,0.01333
/data/SONICS/echoes/Aquamarine_My_Distant_Blue_Nihilore_suno_TTA_002.mp3,0,0,0.02052
/data/SONICS/echoes/Transmit_Lamprey_suno_TTA_001.mp3,0,0,0.01423
/data/SONICS/echoes/philcollins_takes_your_hand_Katapulto_udio_TTA_001.mp3,0,0,0.015305
/data/SONICS/echoes/Hisko_Detria_Hisko_Detria_acestep_TTA_001.mp3,0,0,0.01287
/data/SONICS/echoes/End_of_the_Line_H-LR_diffrhythm_ATA_001.mp3,0,0,0.0164
/data/SONICS/echoes/KOMFORT_voyageurs_producer_ATA_001.mp3,0,0,0.02182
/data/SONICS/echoes/Pista_Afuera_Epstein_diffrhythm_ATA_001.mp3,0,0,0.009674
/data/SONICS/echoes/Robot_Heart_Mystery_Mammal_suno_TTA_001.mp3,0,0,0.0183
/data/SONICS/echoes/Infinite_Light_Pipe_Choir_suno_TTA_002.mp3,0,0,0.02037
/data/SONICS/echoes/Westside_Chillers_Little_Glass_Men_diffrhythm_TTA_001.mp3,0,0,0.01297
/data/SONICS/echoes/Untitled_Fatal_Injection_diffrhythm_ATA_001.mp3,0,0,0.0164
/data/SONICS/echoes/I_Dream_So_Vividly_Uninhabitable_Mansions_suno_TTA_001.mp3,0,0,0.01567
/data/SONICS/echoes/Lackadaisical_Oh_Yeah_the_Future_producer_ATA_001.mp3,0,0,0.01178
/data/SONICS/echoes/Roland_Garros_2048_Zoliborz_udio_TTA_001.mp3,0,0,0.01869
/data/SONICS/echoes/Spanish_BEEEYYAAACHHH_Malaventura_producer_TTA_001.mp3,0,0,0.00923
/data/SONICS/echoes/Love_Dream_The_Zombie_Dandies_diffrhythm_TTA_001.mp3,0,0,0.0159
/data/SONICS/echoes/Empty_Pockets_Pete_Prodoehl_diffrhythm_ATA_001.mp3,0,0,0.01229
/data/SONICS/echoes/Seppuku_Bot_Decktonic_brev_TTA_002.mp3,0,0,0.01095
/data/SONICS/echoes/Paris_Fleslit_suno_TTA_002.mp3,0,0,0.012146
/data/SONICS/echoes/OOOTHERSIDE_-_Liquid_Paper_Mike_B._Fort_udio_TTA_001.mp3,0,0,0.0181
/data/SONICS/echoes/Wir_Werden_Gott_Japanische_Kampfhorspiele_diffrhythm_ATA_001.mp3,0,0,0.013374
/data/SONICS/echoes/Apparitions_Under_Glass_Sarin_stableaudio_TTA_001.mp3,0,0,0.0171
/data/SONICS/echoes/Where_Is_Everything_The_Moi_Non_Plus_diffrhythm_ATA_001.mp3,0,0,0.01764
/data/SONICS/echoes/Lackadaisical_Oh_Yeah_the_Future_udio_TTA_002.mp3,0,0,0.01201
/data/SONICS/echoes/Who_Loves_You_Dear_Mink_Lungs_producer_ATA_001.mp3,0,0,0.01263
/data/SONICS/echoes/The_Front_Yard_HarleyLikesMusic_udio_TTA_002.mp3,0,0,0.03085
/data/SONICS/echoes/Formic_Acid_for_Blood_Punk_Rock_Opera_mubert_TTA_001.mp3,0,0,0.01277
/data/SONICS/echoes/purity_danger_Katapulto_stableaudio_TTA_003.mp3,0,0,0.01738
/data/SONICS/echoes/50000_Volts_of_Democracy_mp3_Legally_Blind_acestep_TTA_001.mp3,0,0,0.01155
/data/SONICS/echoes/A_Different_World_By_Night_Nihilore_acestep_TTA_001.mp3,0,0,0.01348
/data/SONICS/echoes/Stockholm_Syndrome_People_Should_Be_More_Aware_Bird_Names_brev_TTA_001.mp3,0,0,0.05167
/data/SONICS/echoes/Celia_Ergo_Phizmiz_diffrhythm_ATA_001.mp3,0,0,0.01634
/data/SONICS/echoes/Monkeystage_Ergo_Phizmiz_producer_TTA_001.mp3,0,0,0.010735
/data/SONICS/echoes/John_the_Baby_Ergo_Phizmiz_stableaudio_TTA_001.mp3,0,0,0.015366
/data/SONICS/echoes/We_Are_Canucks_David_Blair_producer_ATA_001.mp3,0,0,0.012924
/data/SONICS/echoes/John_the_Baby_Ergo_Phizmiz_suno_TTA_001.mp3,0,0,0.01317
/data/SONICS/echoes/OOOTHERSIDE_-_This_Time_Mike_B._Fort_brev_TTA_001.mp3,0,0,0.0312
/data/SONICS/echoes/Wir_Werden_Gott_Japanische_Kampfhorspiele_acestep_TTA_001.mp3,0,0,0.01201
/data/SONICS/echoes/Ponky_McFonky_My_brother_Daniel_suno_TTA_001.mp3,0,0,0.03308
/data/SONICS/echoes/Okiirobo_Navigation_System_Henry_Homesweet_udio_TTA_001.mp3,0,0,0.013275
/data/SONICS/echoes/Windows_of_the_Skull_Sarin_brev_TTA_001.mp3,0,0,0.01525
